a_788612	4715
a_69056	4897
t_2098339	6493
a_1110698	7219
t_38682	149
a_1300796	7501
a_728123	4568
a_1008814	6220
a_1017176	7443
t_1925238	6068
a_939915	5768
t_2086399	6472
a_569433	4672
a_1181037	6711
a_327595	6308
t_1302238	4286
t_104633	733
a_380145	2503
a_46294	490
a_46295	491
a_274513	5231
a_46293	489
a_228410	3179
a_468363	7482
a_1456607	7497
a_586379	3299
a_72635	989
a_779894	4113
a_755757	5116
a_772841	3974
t_847255	3213
a_150876	2887
t_1435052	4626
t_2242296	7080
a_130094	2899
t_963084	3442
a_363659	4671
t_1840293	5705
t_1685479	5324
t_714224	2931
a_370462	6998
a_976250	5363
a_1046645	5266
t_1521538	4971
a_193984	1855
a_520346	3844
a_130895	3004
t_1436628	4654
a_369103	5983
t_1817156	5623
t_103367	726
a_818364	4118
a_818365	4119
a_818366	4120
a_818362	4115
a_818363	4116
a_1478767	7625
a_317559	3833
a_272658	2501
a_279303	3088
a_44638	438
a_240912	3074
a_286352	6486
t_109839	817
a_209755	6742
t_492220	2312
a_306248	2444
a_5983	105
a_593515	6584
a_1370275	6942
t_1337513	4306
a_286233	6695
a_14374	869
a_27867	131
a_321634	4167
a_1380374	7152
t_1670472	5285
a_54756	593
a_661234	3905
t_1942815	6261
a_21135	609
t_470490	2110
a_299024	5609
t_51160	312
a_528348	7082
a_1034025	6528
t_557746	2538
t_1530770	5018
a_737200	6615
t_1571958	5147
t_2251096	7256
t_548919	2480
t_1816781	5618
t_2419393	7586
t_290407	1600
t_66406	524
a_429539	7289
a_78775	1962
a_558649	3402
a_61332	5878
t_2203725	6758
a_1126623	5742
a_142059	7660
t_37376	114
a_1474992	7500
a_564815	3795
a_452239	6270
t_82795	635
t_45166	252
a_96049	2414
t_1437026	4655
a_1322931	6887
t_137943	1047
a_679696	4583
t_164422	1187
t_1687343	5328
a_769613	5799
t_1426426	4567
a_357003	3744
a_1270618	7404
t_1132497	3858
a_432422	3496
a_1387533	7336
a_660830	3540
a_22950	241
